,1BathRoomWater,timestamp
161,PRESENT,2022-01-29 14:56:03.775000+01:00
162,NOT_PRESENT,2022-01-29 14:56:05.105000+01:00
163,PRESENT,2022-01-29 14:58:05.064000+01:00
164,NOT_PRESENT,2022-01-29 14:58:09.028000+01:00
165,PRESENT,2022-01-29 14:59:08.385000+01:00
166,NOT_PRESENT,2022-01-29 14:59:09.713000+01:00
167,PRESENT,2022-01-29 14:59:14.596000+01:00
168,NOT_PRESENT,2022-01-29 15:00:01.240000+01:00
169,PRESENT,2022-01-29 15:00:04.985000+01:00
170,NOT_PRESENT,2022-01-29 15:00:06.292000+01:00
171,PRESENT,2022-01-29 15:00:13.060000+01:00
172,NOT_PRESENT,2022-01-29 15:00:14.372000+01:00
173,PRESENT,2022-01-29 15:00:16.081000+01:00
174,NOT_PRESENT,2022-01-29 15:00:17.389000+01:00
175,PRESENT,2022-01-29 15:01:03.538000+01:00
176,NOT_PRESENT,2022-01-29 15:01:17.781000+01:00
177,PRESENT,2022-01-29 15:01:21.457000+01:00
178,NOT_PRESENT,2022-01-29 15:01:22.769000+01:00
179,PRESENT,2022-01-29 15:02:15.270000+01:00
180,NOT_PRESENT,2022-01-29 15:02:16.572000+01:00
181,PRESENT,2022-01-29 15:02:18.280000+01:00
182,NOT_PRESENT,2022-01-29 15:02:19.587000+01:00
183,PRESENT,2022-01-29 15:02:35.264000+01:00
184,NOT_PRESENT,2022-01-29 15:02:37.463000+01:00
185,PRESENT,2022-01-29 15:02:50.826000+01:00
186,NOT_PRESENT,2022-01-29 15:02:55.630000+01:00
187,PRESENT,2022-01-29 15:03:01.329000+01:00
188,NOT_PRESENT,2022-01-29 15:03:02.634000+01:00
189,PRESENT,2022-01-29 15:03:48.126000+01:00
190,NOT_PRESENT,2022-01-29 15:04:23.416000+01:00
191,PRESENT,2022-01-29 15:04:48.128000+01:00
192,NOT_PRESENT,2022-01-29 15:04:49.432000+01:00
193,PRESENT,2022-01-29 15:05:02.998000+01:00
194,NOT_PRESENT,2022-01-29 15:06:40.253000+01:00
195,PRESENT,2022-01-29 15:06:53.989000+01:00
196,NOT_PRESENT,2022-01-29 15:07:08.863000+01:00
197,PRESENT,2022-01-29 15:07:14.735000+01:00
198,NOT_PRESENT,2022-01-29 15:07:23.515000+01:00
199,PRESENT,2022-01-29 15:07:31.353000+01:00
200,NOT_PRESENT,2022-01-29 15:07:36.644000+01:00
201,PRESENT,2022-01-29 15:07:38.355000+01:00
202,NOT_PRESENT,2022-01-29 15:07:47.108000+01:00
203,PRESENT,2022-01-29 15:07:57.389000+01:00
204,NOT_PRESENT,2022-01-29 15:08:07.913000+01:00
205,PRESENT,2022-01-29 15:40:14.046000+01:00
206,NOT_PRESENT,2022-01-29 15:40:16.070000+01:00
207,PRESENT,2022-01-29 15:42:47.981000+01:00
208,NOT_PRESENT,2022-01-29 15:42:54.821000+01:00
209,PRESENT,2022-01-29 15:42:56.561000+01:00
210,NOT_PRESENT,2022-01-29 15:42:57.898000+01:00
211,PRESENT,2022-01-29 15:43:01.240000+01:00
212,NOT_PRESENT,2022-01-29 15:43:05.109000+01:00
213,PRESENT,2022-01-29 15:43:09.381000+01:00
214,NOT_PRESENT,2022-01-29 15:43:10.725000+01:00
215,PRESENT,2022-01-29 15:43:16.896000+01:00
216,NOT_PRESENT,2022-01-29 15:43:18.239000+01:00
217,PRESENT,2022-01-29 20:13:28.767000+01:00
218,NOT_PRESENT,2022-01-29 20:13:30.102000+01:00
219,PRESENT,2022-01-29 20:36:38.635000+01:00
220,NOT_PRESENT,2022-01-29 20:36:39.963000+01:00
221,PRESENT,2022-01-30 09:43:32.907000+01:00
222,NOT_PRESENT,2022-01-30 09:43:36.973000+01:00
223,PRESENT,2022-01-30 09:43:44.818000+01:00
224,NOT_PRESENT,2022-01-30 09:43:46.151000+01:00
225,PRESENT,2022-01-30 11:38:11.232000+01:00
226,NOT_PRESENT,2022-01-30 11:38:12.576000+01:00
227,PRESENT,2022-01-30 11:38:24.508000+01:00
228,NOT_PRESENT,2022-01-30 11:38:25.844000+01:00
229,PRESENT,2022-01-30 11:39:02.777000+01:00
230,NOT_PRESENT,2022-01-30 11:39:04.106000+01:00
231,PRESENT,2022-01-30 11:39:08.529000+01:00
232,NOT_PRESENT,2022-01-30 11:39:09.859000+01:00
233,PRESENT,2022-01-30 12:06:29.261000+01:00
234,NOT_PRESENT,2022-01-30 12:06:31.514000+01:00
235,PRESENT,2022-01-30 12:06:34.605000+01:00
236,NOT_PRESENT,2022-01-30 12:06:40.953000+01:00
237,PRESENT,2022-01-30 12:06:46.543000+01:00
238,NOT_PRESENT,2022-01-30 12:06:47.871000+01:00
239,PRESENT,2022-01-30 12:06:59.279000+01:00
240,NOT_PRESENT,2022-01-30 12:07:01.526000+01:00
241,PRESENT,2022-01-30 12:07:11.558000+01:00
