,0BDoor,timestamp
285,NOT_PRESENT,2022-02-04 00:07:18.819000+01:00
286,PRESENT,2022-02-04 00:18:31.802000+01:00
287,NOT_PRESENT,2022-02-04 00:23:33.429000+01:00
288,PRESENT,2022-02-04 11:25:12.471000+01:00
289,NOT_PRESENT,2022-02-04 11:25:13.737000+01:00
290,PRESENT,2022-02-04 19:44:19.533000+01:00
291,NOT_PRESENT,2022-02-04 19:44:23.455000+01:00
292,PRESENT,2022-02-04 19:44:32.043000+01:00
293,NOT_PRESENT,2022-02-04 19:52:34.891000+01:00
294,PRESENT,2022-02-05 11:15:04.942000+01:00
295,NOT_PRESENT,2022-02-05 11:15:26.232000+01:00
296,PRESENT,2022-02-05 11:15:36.163000+01:00
297,NOT_PRESENT,2022-02-05 11:19:30.463000+01:00
298,PRESENT,2022-02-05 19:05:06.347000+01:00
299,NOT_PRESENT,2022-02-05 19:05:07.611000+01:00
300,PRESENT,2022-02-05 22:05:57.787000+01:00
301,NOT_PRESENT,2022-02-05 22:16:51.718000+01:00
302,PRESENT,2022-02-05 22:17:24.858000+01:00
303,NOT_PRESENT,2022-02-05 22:17:26.126000+01:00
304,PRESENT,2022-02-05 22:26:36.523000+01:00
305,NOT_PRESENT,2022-02-06 00:58:01.313000+01:00
306,PRESENT,2022-02-06 08:49:58.393000+01:00
307,NOT_PRESENT,2022-02-06 09:12:13.096000+01:00
308,PRESENT,2022-02-06 09:12:25.236000+01:00
309,NOT_PRESENT,2022-02-06 09:18:04.880000+01:00
310,PRESENT,2022-02-06 10:38:50.866000+01:00
311,NOT_PRESENT,2022-02-06 10:38:52.131000+01:00
312,PRESENT,2022-02-06 13:29:17.964000+01:00
313,NOT_PRESENT,2022-02-06 13:30:42.636000+01:00
314,PRESENT,2022-02-06 16:31:50.025000+01:00
315,NOT_PRESENT,2022-02-06 16:46:12.133000+01:00
316,PRESENT,2022-02-06 16:46:52.171000+01:00
317,NOT_PRESENT,2022-02-06 17:29:54.114000+01:00
318,PRESENT,2022-02-06 20:53:18.664000+01:00
319,NOT_PRESENT,2022-02-06 20:53:19.930000+01:00
320,PRESENT,2022-02-06 21:01:41.139000+01:00
321,NOT_PRESENT,2022-02-07 08:35:23.903000+01:00
322,PRESENT,2022-02-07 08:36:48.587000+01:00
323,NOT_PRESENT,2022-02-07 08:36:49.851000+01:00
324,PRESENT,2022-02-07 08:37:17.701000+01:00
325,NOT_PRESENT,2022-02-07 08:44:31.007000+01:00
326,PRESENT,2022-02-07 12:20:48.163000+01:00
327,NOT_PRESENT,2022-02-07 12:20:49.429000+01:00
328,PRESENT,2022-02-07 15:08:21.261000+01:00
329,NOT_PRESENT,2022-02-07 15:08:22.527000+01:00
0,PRESENT,2022-02-07 20:13:10.483000+01:00
1,NOT_PRESENT,2022-02-07 20:45:49.621000+01:00
2,PRESENT,2022-02-07 22:29:07.332000+01:00
3,NOT_PRESENT,2022-02-07 23:43:15.763000+01:00
4,PRESENT,2022-02-08 19:47:34.018000+01:00
5,NOT_PRESENT,2022-02-08 20:04:43.776000+01:00
6,PRESENT,2022-02-08 20:05:21.584000+01:00
7,NOT_PRESENT,2022-02-08 20:11:03.316000+01:00
0,PRESENT,2022-02-09 21:09:58.975000+01:00
1,NOT_PRESENT,2022-02-09 21:35:30.134000+01:00
2,PRESENT,2022-02-10 08:11:08.889000+01:00
3,NOT_PRESENT,2022-02-10 08:11:11.715000+01:00
4,PRESENT,2022-02-10 17:31:06.361000+01:00
5,NOT_PRESENT,2022-02-10 17:47:34.164000+01:00
6,PRESENT,2022-02-10 17:48:40.783000+01:00
7,NOT_PRESENT,2022-02-10 18:05:27.906000+01:00
8,PRESENT,2022-02-10 18:06:26.300000+01:00
9,NOT_PRESENT,2022-02-10 18:38:56.725000+01:00
0,PRESENT,2022-02-12 23:15:30.601000+01:00
1,NOT_PRESENT,2022-02-13 00:56:17.155000+01:00
2,PRESENT,2022-02-13 12:53:07.866000+01:00
3,NOT_PRESENT,2022-02-13 12:53:09.130000+01:00
4,PRESENT,2022-02-13 12:53:11.724000+01:00
5,NOT_PRESENT,2022-02-13 12:53:12.990000+01:00
0,PRESENT,2022-02-16 08:40:31.643000+01:00
1,NOT_PRESENT,2022-02-16 08:45:20.453000+01:00
2,PRESENT,2022-02-16 11:23:55.593000+01:00
3,NOT_PRESENT,2022-02-16 11:23:56.859000+01:00
4,PRESENT,2022-02-16 14:21:56.489000+01:00
5,NOT_PRESENT,2022-02-16 14:21:57.755000+01:00
6,PRESENT,2022-02-16 14:31:55.676000+01:00
7,NOT_PRESENT,2022-02-16 14:35:46.599000+01:00
8,PRESENT,2022-02-16 15:01:49.580000+01:00
9,NOT_PRESENT,2022-02-16 15:01:50.843000+01:00
10,PRESENT,2022-02-16 16:38:35.274000+01:00
11,NOT_PRESENT,2022-02-16 16:38:36.539000+01:00
0,PRESENT,2022-02-16 21:39:25.664000+01:00
1,NOT_PRESENT,2022-02-16 21:39:27.589000+01:00
2,PRESENT,2022-02-17 08:35:27.673000+01:00
3,NOT_PRESENT,2022-02-17 08:40:33.494000+01:00
4,PRESENT,2022-02-17 11:39:05.502000+01:00
5,NOT_PRESENT,2022-02-17 11:39:06.769000+01:00
6,PRESENT,2022-02-17 14:53:39.796000+01:00
7,NOT_PRESENT,2022-02-17 14:53:41.066000+01:00
0,PRESENT,2022-02-17 22:00:07.157000+01:00
1,NOT_PRESENT,2022-02-17 22:00:32.573000+01:00
2,PRESENT,2022-02-17 22:05:46.013000+01:00
3,NOT_PRESENT,2022-02-17 23:00:35.247000+01:00
4,PRESENT,2022-02-17 23:02:39.578000+01:00
5,NOT_PRESENT,2022-02-18 00:33:06.944000+01:00
0,PRESENT,2022-02-20 16:47:03.825000+01:00
1,NOT_PRESENT,2022-02-20 16:54:49.407000+01:00
2,PRESENT,2022-02-20 16:59:57.028000+01:00
3,NOT_PRESENT,2022-02-20 16:59:58.295000+01:00
4,PRESENT,2022-02-20 18:31:52.138000+01:00
5,NOT_PRESENT,2022-02-20 18:34:03.055000+01:00
6,PRESENT,2022-02-20 19:38:17.259000+01:00
0,NOT_PRESENT,2022-02-20 20:30:16.784000+01:00
1,PRESENT,2022-02-20 21:03:05.167000+01:00
